RegionId,ZipCode,State,City,County,Latitude,Longitude,Latest_ZHVI
58662,2150,MA,Chelsea,Suffolk County,42.396824,-71.031348,574861.4334
58663,2151,MA,Revere,Suffolk County,42.41829,-71.001251,597404.8908
58664,2152,MA,Winthrop,Suffolk County,42.373055,-70.974807,693352.7964
58666,2155,MA,Medford,Middlesex County,42.42384,-71.107673,828191.6005
58669,2169,MA,Quincy,Norfolk County,42.248386,-71.002279,635101.9289
58670,2170,MA,Quincy,Norfolk County,42.266415,-71.015576,723166.1944
58671,2171,MA,Quincy,Norfolk County,42.29331,-71.018208,719363.2584
58672,2176,MA,Melrose,Middlesex County,42.455723,-71.059019,884445.1017
58673,2180,MA,Stoneham,Middlesex County,42.474208,-71.097665,769540.7334
58674,2184,MA,Braintree,Norfolk County,42.206188,-71.00232,705289.5155
58676,2186,MA,Milton,Norfolk County,42.241557,-71.082432,972189.3896
58678,2188,MA,Weymouth,Norfolk County,42.204578,-70.957749,579035.0112
58679,2189,MA,Weymouth,Norfolk County,42.209776,-70.928189,573635.6463
58680,2190,MA,Weymouth,Norfolk County,42.166731,-70.952363,633240.1558
58681,2191,MA,Weymouth,Norfolk County,42.243453,-70.942033,565256.8772
58695,2215,MA,Boston,Suffolk County,42.347635,-71.103082,851199.4825
58710,2301,MA,Brockton,Plymouth County,42.078371,-71.042304,480177.1714
58711,2302,MA,Brockton,Plymouth County,42.088907,-70.998375,446032.4935
58715,2322,MA,Avon,Norfolk County,42.13246,-71.054013,516618.1402
58716,2324,MA,Bridgewater,Plymouth County,41.972387,-70.978778,585609.3099
58719,2330,MA,Carver,Plymouth County,41.878644,-70.743198,522089.7371
58721,2332,MA,Duxbury,Plymouth County,42.044325,-70.706075,1023963.725
58722,2333,MA,East Bridgewater,Plymouth County,42.037278,-70.940459,547460.987
58725,2338,MA,Halifax,Plymouth County,42.002811,-70.863473,536056.2145
58726,2339,MA,Hanover,Plymouth County,42.122956,-70.85631,764128.8986
58728,2341,MA,Hanson,Plymouth County,42.050464,-70.867418,555287.1356
58729,2343,MA,Holbrook,Norfolk County,42.140244,-70.997347,500913.9044
58732,2346,MA,Middleborough,Plymouth County,41.878004,-70.869267,513960.2071
58733,2347,MA,Lakeville,Plymouth County,41.834412,-70.957163,585187.2967
